Year,Month,Day,Place,Hot.Dogs,MINS,NAME,CONTEST,Qual,Gender,Location
2006,Jun,24,1st,21.5,12,"Allen ""Shredder"" Goldstein",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Central Islip, NY"
2006,Jun,24,1st,19.5,12,"""Jalapeno"" Jed Donahue",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"San Francisco, CA"
2006,Jun,24,2nd,20,12,"Sam ""Big Country"" Vise",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,2nd,19,12,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"San Francisco, CA"
2006,Jun,24,2nd,13,12,Kevin Basso,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Central Islip, NY"
2006,Jun,24,3rd,18,12,"Dale ""Mouth of the South"" Boone",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,3rd,15,12,Ron Koch,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"San Francisco, CA"
2006,Jun,24,4th,17.5,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,5th,16,12,"Loren ""Bubba"" Yarbrough",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,?,11,12,"Paul ""BoneBreaker"" Barlow, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,?,11,12,"""The Hangman"" Bruce Pobanz",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,24,?,9,12,Mike Wooldridge,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"San Francisco, CA"
2006,Jun,24,?,?,12,"Larry ""The Legend"" McNeil",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2006,Jun,23,1st,22.5,12,"Pat ""from Moonachie"" Philbin",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,23,2nd,20.5,12,"Allen ""Shredder"" Goldstein",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,23,3rd,15.5,12,"""The Natural"" Arturo Rios, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,23,4th,14,12,"William ""Wild Bill"" Myers",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,23,5th,12.5,12,"""Beautiful"" Brian Seiken",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,23,DQ,?,12,"Don ""Moses"" Lerman",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2006,Jun,22,1st,21.5,12,"Seaver ""the Achiever"" Miller",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"West Chester, PA"
2006,Jun,22,2nd,20,12,"""Buffalo"" Jim Reeves",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"West Chester, PA"
2006,Jun,22,3rd,18,12,"Eric ""Steakbellie"" Livingston",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"West Chester, PA"
2006,Jun,22,?,?,12,"Paul ""BoneBreaker"" Barlow, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"West Chester, PA"
2006,Jun,22,?,?,12,Justin Mih,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"West Chester, PA"
2006,Jun,18,1st,29,12,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Queens, NY"
2006,Jun,18,2nd,17,12,Eddie Hardy,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Queens, NY"
2006,Jun,18,3rd,11,12,"""Beautiful"" Brian Seiken",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Queens, NY"
2006,Jun,17,1st,38,12,"Chip ""The Phenom"" Simpson",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,1st,19,12,Kenji Oguni,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,2nd,32,12,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,2nd,15.5,12,"Miyuki ""Eastern Queen"" Iwata",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,3rd,15,12,Matsumura,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,3rd,12,12,"Andrew ""A Bomb"" Lane",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,4th,14,12,"""Deresque"" Matsumoto",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,4th,11,12,"Kevin ""The Carburetor"" Carr",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,?,6.5,12,Ikuhisa Minowa,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,?,4.5,12,Mariko Fujimoto,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,?,3,12,Windy Tomomi,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2006,Jun,17,?,?,12,Dave DeGidio,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,?,?,12,Phi Do,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,17,?,?,12,Matthew Lundgren,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Bloomington, MN"
2006,Jun,10,1st,20.5,12,"""Big"" Brian Subich",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Norfolk, VA"
2006,Jun,10,2nd,20.375,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Norfolk, VA"
2006,Jun,10,3rd,18,12,"Seaver ""the Achiever"" Miller",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Norfolk, VA"
2006,Jun,10,4th,17,12,Justin Mih,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Norfolk, VA"
2006,Jun,4,1st,15.5,12,Justin Mih,Nathan's Famous Hot Dog Eating Contest exhibition,,,"Boston, MA"
2006,Jun,4,2nd,13,12,"Pete ""PrettyBoy"" Davekos",Nathan's Famous Hot Dog Eating Contest exhibition,,,"Boston, MA"
2006,Jun,3,1st,28,12,"Rich ""The Locust"" LeFevre",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2006,Jun,3,2nd,19,12,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2006,Jun,3,3rd,13,12,"Russell ""the Black Hole"" Blackwell",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2006,Jun,3,4th,9,12,"Andrew ""A Bomb"" Lane",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2006,May,27,1st,36.5,12,"Sonya ""The Black Widow"" Thomas",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,2nd,28,12,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,3rd,25,12,"""Big"" Brian Subich",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,4th,24,12,"Pat ""from Moonachie"" Philbin",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,5th,16.25,12,"Eric ""Steakbellie"" Livingston",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,?,12,12,"Pete ""Philly Guy"" Miernicki",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,?,11.5,12,"William ""Wild Bill"" Myers",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,27,?,?,12,"Micah ""Wing Kong"" Collins",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2006,May,20,1st,27.5,12,"Tim ""Eater X"" Janus",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,2nd,25,12,"Pat ""from Moonachie"" Philbin",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,3rd,16,12,"Russ ""The Black Hole"" Keeler",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,13,12,"""Krazy"" Kevin Lipsitz",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,10.5,12,Ryan McBride,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,?,12,Kyle Erha,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,?,12,Mike LeMay,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,?,12,Barry Shanebrook,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,?,?,12,"William ""Black Tie"" Stobierski",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,20,DQ,?,12,"Don ""Moses"" Lerman",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2006,May,18,1st,50,12,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,2nd,30.5,12,"Rich ""The Locust"" LeFevre",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,3rd,15,12,Ron Koch,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,4th,12.5,12,"Andrew ""A Bomb"" Lane",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,5th,11,12,Josh Heald,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,6th,10,12,"""El Toro"" Jimenez",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,May,18,7th,10,12,"Doug ""Cerebrus"" Ecks",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2006,Apr,15,1st,21.5,12,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,2nd,21.5,12,"Joe ""JamminJoe"" LaRue",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,3rd,19,12,"Bryan ""the Lion"" Miller",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,4th,18,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,5th,13.5,12,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,6th,13,12,"Ed Taboada, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,7th,12,12,"Loren ""Bubba"" Yarbrough",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,8th,10,12,"Larry ""The Legend"" McNeil",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2006,Apr,15,?,?,12,"Michael ""Per Diem"" Parish",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Sunrise, FL"
2005,Jul,4,1st,49,12,Takeru Kobayashi,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,2nd,37,12,"Sonya ""The Black Widow"" Thomas",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,3rd,32,12,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,4th,29,12,"Ed ""Cookie"" Jarvis",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
